"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x526998643","x1484007393356877831",2022-01-20 03:38:28,"SquillyWonka","@saltyseapirate But also by the virtue of drinking dunkin and smoking cigs. Also bad tattoo","Twitter for iPhone",75,"x1483961415614435328","x596017876","saltyseapirate",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x596017876","saltyseapirate","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SquillyWonka/status/1484007393356877831","SQUILL KEN","","Hear that little forest creatures? None of you sons of bitches try to be heroes",,FALSE,1328,826,5,64017,158279,2012-03-17 02:04:00,FALSE,,,,"https://pbs.twimg.com/profile_banners/526998643/1533484147","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/761671134228189189/tF1vy5us_normal.jpg"
"x1453288681071161344","x1484007308397268997",2022-01-20 03:38:08,"EstelaLyndine","@SB19RTSquad_125 @SB19Official Dunkin'

BAZINGA KEEP THE BUZZ
@SB19Official #SB19
#SB19TopsBillboardHTS

Listen to #Bazinga_SB19","Twitter Web App",140,,,,FALSE,TRUE,0,17,,,"SB19 SB19TopsBillboardHTS",,,,,,,,,,,,,"x1396712045190340608 x1389397125071446016 x1006064993282842624 x1006064993282842624","EsangBalmores SB19RTSquad_125 SB19Official SB19Official","en",,,,,,,,,,,,,,,,"x1483993036069564418","@SB19RTSquad_125 @SB19Official Dunkin'

BAZINGA KEEP THE BUZZ
@SB19Official #SB19
#SB19TopsBillboardHTS

Listen to #Bazinga_SB19",2022-01-20 02:41:25,"Twitter for Android",2,17,"x1396712045190340608","EsangBalmores","Esang🌱🇵🇭",199,244,9200,"Ilocos Region","SB19 stan account. Stan talent, stan PPOP kings🤴🏻🤴🏻🤴🏻🤴🏻🤴🏻, STAN SB19 🍗🌭🌽🍡🍓MAHALIMA💙 Main acc: @Jhesa_lovesSB19",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/EstelaLyndine/status/1484007308397268997","ALyzza_2014","","***My only MAHALIMA***
           from Davao",,FALSE,213,323,0,17125,1684,2021-10-27 09:13:42,FALSE,,,,"https://pbs.twimg.com/profile_banners/1453288681071161344/1636621650",,"http://pbs.twimg.com/profile_images/1464598024269664262/qadbrrYf_normal.jpg"
"x1381945993789198339","x1484007152478199810",2022-01-20 03:37:31,"jssmtnmn","@SB19RTSquad_125 @SB19Official Dunkin, beautiful my love baby

BAZINGA KEEP THE BUZZ
@SB19Official #SB19
#SB19TopsBillboardHTS

Listen to #Bazinga_SB19","Twitter Web App",120,"x1483992403665387521","x1389397125071446016","SB19RTSquad_125",FALSE,FALSE,0,0,,,"SB19 SB19TopsBillboardHTS Bazinga_SB19",,,,,,,,,,,,,"x1389397125071446016 x1006064993282842624 x1006064993282842624","SB19RTSquad_125 SB19Official SB19Official","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/jssmtnmn/status/1484007152478199810","samii🐺 | nagwworksheet","SB19xA’TIN","@keun16308352 ♡ | kentin•joken | she/her","https://t.co/TnfeZTYR0J",FALSE,677,785,0,6565,8746,2021-04-13 12:23:04,FALSE,"https://t.co/TnfeZTYR0J","https://sb19votingteam.carrd.co/",,"https://pbs.twimg.com/profile_banners/1381945993789198339/1642508194",,"http://pbs.twimg.com/profile_images/1483373416791285760/yQrPmQCP_normal.jpg"
"x1407131371949092864","x1484007020004925443",2022-01-20 03:36:59,"hannAtin_0712","@SB19RTSquad_125 @SB19Official dunkin donut

BAZINGA KEEP THE BUZZ
@SB19Official #SB19
#SB19TopsBillboardHTS
#Bazinga_SB19 is my hype song!","Twitter for Android",108,"x1483992403665387521","x1389397125071446016","SB19RTSquad_125",FALSE,FALSE,0,0,,,"SB19 SB19TopsBillboardHTS Bazinga_SB19",,,,,,,,,,,,,"x1389397125071446016 x1006064993282842624 x1006064993282842624","SB19RTSquad_125 SB19Official SB19Official","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/hannAtin_0712/status/1484007020004925443","hannA'tin Nase","","🐔🌭🌽🍓🍖
0838 + 0712 + E= Happy Family",,FALSE,7,24,0,564,1736,2021-06-22 00:20:55,FALSE,,,,"https://pbs.twimg.com/profile_banners/1407131371949092864/1636878636",,"http://pbs.twimg.com/profile_images/1447577662633897988/FYcpVGyd_normal.jpg"
"x1422106498214162439","x1484007006898110465",2022-01-20 03:36:56,"Kulapper","@SB19RTSquad_125 @Kulapper @SB19Official Dunkin Donuts ni SB19

BAZINGA KEEP THE BUZZ
@SB19Official #SB19
#SB19TopsBillboardHTS

Listen to #Bazinga_SB19","Twitter for Android",140,,,,FALSE,TRUE,0,1,,,"SB19",,,,,,,,,,,,,"x1289108699575795713 x1389397125071446016 x1422106498214162439 x1006064993282842624 x1006064993282842624","stellajeroe_ SB19RTSquad_125 Kulapper SB19Official SB19Official","en",,,,,,,,,,,,,,,,"x1484005025735376896","@SB19RTSquad_125 @Kulapper @SB19Official Dunkin Donuts ni SB19

BAZINGA KEEP THE BUZZ
@SB19Official #SB19
#SB19TopsBillboardHTS

Listen to #Bazinga_SB19",2022-01-20 03:29:04,"Twitter for Android",0,1,"x1289108699575795713","stellajeroe_","Vester",1623,1147,101521,"Republic of the Philippines","Who is the reason of your smile?",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Kulapper/status/1484007006898110465","Ku🍓🐺","","Jeremiah 29:11 
(Stan SB19 🍢🌭🍓🍗🌽-Ku) Mahal ang Lima 💙",,FALSE,498,583,0,39083,12080,2021-08-02 08:06:36,FALSE,,,,"https://pbs.twimg.com/profile_banners/1422106498214162439/1642492885",,"http://pbs.twimg.com/profile_images/1483403270936621056/a_u0INco_normal.jpg"
"x1422106498214162439","x1484000346494373888",2022-01-20 03:10:28,"Kulapper","@SB19RTSquad_125 @SB19Official Dunkin donut

BAZINGA KEEP THE BUZZ
@SB19Official #SB19
Listen to #Bazinga_SB19","Twitter for Android",79,"x1483992403665387521","x1389397125071446016","SB19RTSquad_125",FALSE,FALSE,0,0,,,"SB19 Bazinga_SB19",,,,,,,,,,,,,"x1389397125071446016 x1006064993282842624 x1006064993282842624","SB19RTSquad_125 SB19Official SB19Official","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Kulapper/status/1484000346494373888","Ku🍓🐺","","Jeremiah 29:11 
(Stan SB19 🍢🌭🍓🍗🌽-Ku) Mahal ang Lima 💙",,FALSE,498,583,0,39083,12080,2021-08-02 08:06:36,FALSE,,,,"https://pbs.twimg.com/profile_banners/1422106498214162439/1642492885",,"http://pbs.twimg.com/profile_images/1483403270936621056/a_u0INco_normal.jpg"
"x40274951","x1484006957656719362",2022-01-20 03:36:44,"1n0nlyJT","RIP Young Dolph
RIP Pop Smoke
RIP Bankroll Fresh
RIP Slim Dunkin
RIP King Von
RIP Juice WRLD
RIP Mac Miller
RIP Nipsey 
RIP XXXTENTACION 

🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽","Twitter for iPhone",140,,,,FALSE,TRUE,0,3,,,,,,,,,,,,,,,,"x40274951","1n0nlyJT","en",,,,,,,,,,,,,,,,"x1462212541120008196","RIP Young Dolph
RIP Pop Smoke
RIP Bankroll Fresh
RIP Slim Dunkin
RIP King Von
RIP Juice WRLD
RIP Mac Miller
RIP Nipsey 
RIP XXXTENTACION 

🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽",2021-11-21 00:13:31,"Twitter for iPhone",15,3,"x40274951","1n0nlyJT","JohnStocks.eth",941,2960,42250,"Floating Rock in Space","John is my name. 🏃🏽‍♂️Running to success is my game|#ThoughtProvoking | #Bitcoin | @TheeStickerGod | @TheeGalaxyGods |@TheSquares_NFT | 🌍☮️ | he/him",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/1n0nlyJT/status/1484006957656719362","JohnStocks.eth","Floating Rock in Space","John is my name. 🏃🏽‍♂️Running to success is my game|#ThoughtProvoking | #Bitcoin | @TheeStickerGod | @TheeGalaxyGods |@TheSquares_NFT | 🌍☮️ | he/him","https://t.co/oasBMxgrXm",FALSE,941,2960,24,42250,45444,2009-05-15 16:27:04,FALSE,"https://t.co/oasBMxgrXm","https://sociatap.com/johnt90",,"https://pbs.twimg.com/profile_banners/40274951/1640455442","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/1480687367262511104/uY3HpdWX_normal.jpg"
"x78068749","x1484006861720285191",2022-01-20 03:36:22,"wyldbunny","@SB19RTSquad_125 @SB19Official Dunkin Donuts

BAZINGA KEEP THE BUZZ
@SB19Official #SB19
#SB19TopsBillboardHTS

Listen to #Bazinga_SB19","Twitter for Android",103,"x1483992403665387521","x1389397125071446016","SB19RTSquad_125",FALSE,FALSE,0,0,,,"SB19 SB19TopsBillboardHTS Bazinga_SB19",,,,,,,,,,,,,"x1389397125071446016 x1006064993282842624 x1006064993282842624","SB19RTSquad_125 SB19Official SB19Official","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/wyldbunny/status/1484006861720285191","wayeth","Philippines","“Breathe. Let go. And remind yourself that this very moment is the only one you know you have for sure.”",,FALSE,155,755,1,17051,20711,2009-09-28 17:24:14,FALSE,,,,,"http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/725669850811486209/8p5_JSf8_normal.jpg"
"x999250330138370049","x1484006543775473668",2022-01-20 03:35:06,"Wapbaze_Com","DOWNLOAD Waka Flocka Flame - Bang ft. YG Hootie x Slim Dunkin #Wapbaze #technology #business #video #machinelearning #education https://t.co/bmGXz63snn #endsars #tbt #wcw","dlvr.it",170,,,,FALSE,FALSE,1,1,,,"Wapbaze technology business video machinelearning education endsars tbt wcw",,"dlvr.it/SHS21K","https://t.co/bmGXz63snn","http://dlvr.it/SHS21K",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Wapbaze_Com/status/1484006543775473668","Wapbaze.com","New Orleans, LA","Wapbaze is a music streaming website for Africa
https://t.co/g3beDgSl9b
https://t.co/PZGHbINLtL
https://t.co/Xfi48BqHAU
https://t.co/ZGyNHoNL4A","https://t.co/g3beDgSl9b",FALSE,806,53,2,27061,162,2018-05-23 11:26:58,FALSE,"https://t.co/g3beDgSl9b","https://www1.wapbaze.com",,,,"http://pbs.twimg.com/profile_images/999252201452126208/C4zS0io8_normal.jpg"
"x1479320506205896709","x1484006533809651712",2022-01-20 03:35:03,"JaneSegovi2","@SB19RTSquad_125 @Mysuperjayne @SB19Official Dunkin donuts

BAZINGA KEEP THE BUZZ
@SB19Official #SB19
#SB19TopsBillboardHTS 

#Bazinga_SB19 is my hype song!","Twitter for Android",140,,,,FALSE,TRUE,0,3,,,"SB19",,,,,,,,,,,,,"x1420346666431909892 x1389397125071446016 x871225747 x1006064993282842624 x1006064993282842624","MaryJaneSegovi2 SB19RTSquad_125 Mysuperjayne SB19Official SB19Official","en",,,,,,,,,,,,,,,,"x1484000437670117379","@SB19RTSquad_125 @Mysuperjayne @SB19Official Dunkin donuts

BAZINGA KEEP THE BUZZ
@SB19Official #SB19
#SB19TopsBillboardHTS 

#Bazinga_SB19 is my hype song!",2022-01-20 03:10:50,"Twitter for Android",2,3,"x1420346666431909892","MaryJaneSegovi2","Mary Jane 💙MVT💙",426,573,5200,"Calabarzon, Republic of the Ph","Main account  SB19 FAN",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JaneSegovi2/status/1484006533809651712","Jane 💙 MVT💙","Calabarzon, Republic of the Ph","Second account

SB19xA'Tin",,FALSE,422,687,0,3188,5468,2022-01-07 05:14:42,FALSE,,,,"https://pbs.twimg.com/profile_banners/1479320506205896709/1641564449",,"http://pbs.twimg.com/profile_images/1483409978996437004/Kvshb08K_normal.jpg"
